requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
1,0,1,137.6005859,247,1,1,1,0
120,105.0669667,1,6.446606445,16.60833333,1,1,79,0
69,237.3798116,1,11.67868263,26.49275362,0.985507246,2,35,0
5,0.3824,1,4.935742188,2,1,1,5,0
16,1441.22675,1,26.92694092,97.6875,0.875,2,15,0
4,0.011,1,3.961425781,3.25,1,1,4,0
72,1.073625,1,16.40532769,29.11111111,0.944444444,3,71,0
9,0.323333333,1,29.6672092,15.33333333,0.888888889,1,9,0
12,10.73841667,1,25.50317383,47.58333333,1,1,12,0
90,69.09367778,1,302.4757704,454.6888889,1,3,77,0
2,0.0345,1,0.684570313,9.5,1,1,2,0
6,11.02266667,1,16.48209635,60.33333333,1,2,5,0
1,0,1,270.1972656,270,1,1,1,0
70,2.600614286,1,921.2925921,520.7857143,1,2,70,0
47,7.134659574,1,2716.79513,1695.021277,0.936170213,5,42,0
1,0,1,0,3,1,1,1,0
15,0.0176,1,1.919986979,6.866666667,1,1,15,0
79,3.639594937,1,387.4618275,1431.392405,0.987341772,2,65,0
5,17.0536,1,23.21171875,23.4,0.8,2,5,0
13,15.79084615,1,12.25803786,25.84615385,0.923076923,2,11,0
1,0,1,0,2,1,1,1,0
1,0,1,0,2,1,1,1,0
10,2523.0068,1,26.70048828,7.9,0.9,1,10,0
17,23.97764706,1,13.33432904,22.47058824,0.764705882,3,14,0
164,24.41665244,1,12.24221727,83.44512195,0.993902439,1,139,0
77,908.0292468,1,45.29948762,620.038961,0.909090909,4,48,0
1,0,1,0,3,1,1,1,0
9,0.129666667,1,29.6672092,142.6666667,0.888888889,1,9,0
49,1.076591837,1,12.70444037,1865.693878,1,1,49,0
41,1028.438585,1,24.1025867,47.46341463,0.975609756,3,25,0
93,0.875634409,1,43.20247396,83.11827957,0.989247312,1,93,0
13,78.37323077,1,23.25863882,11.61538462,1,1,13,0
6,7.123333333,1,8.568196615,8.5,1,2,6,0
15,2.1028,1,107.2876953,8.133333333,1,2,15,0
35,0.276257143,1,21.63423549,414.2285714,1,1,35,0
192,5.456661458,1,206.7835185,46.47916667,1,3,172,0
189,9.765608466,1,3019.811126,1222.100529,0.481481481,9,129,0
68,456.7636765,0.985294118,47.02579274,207.2058824,0.985294118,3,66,0
3,0.047,1,77.27148438,382,0.666666667,1,3,0
20,3069.76375,1,5.504003906,2.65,1,4,10,0
2,4834.1805,1,7.463378906,39.5,1,2,2,0
11,4.498272727,0.636363636,1598.18608,1479.363636,0.818181818,1,11,0
39,11.68879487,1,12.41215946,114.5128205,0.974358974,1,27,0
8,0.53025,1,33.20227051,322.375,1,1,8,0
8,2787.2465,1,13.49267578,5.375,1,3,7,0
1447,48.39498411,0.971319972,12.45291376,27.58673117,0.963372495,6,345,0
89,738.6891011,1,13.5514835,14.34831461,0.966292135,6,49,0
4,3436.60275,1,5.3671875,7.5,1,2,1,0
40,0.0342,1,29.00625,69.325,0.975,1,40,0
1,0,1,0,3,1,1,1,0
